cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
50	MSN_Drd2+_1	Hsp90ab1	0.72657267503493	3.23273430091923e-65	7.50594722754861e-62	singlecell	MAST	singlecell
51	MSN_Drd2+_1	Hspa8	0.509222564757174	1.18640197764325e-49	1.28550608950905e-46	singlecell	MAST	singlecell
52	MSN_Drd2+_1	Igsf8	0.237108965202693	1.12136771247139e-13	6.0955148597985e-12	singlecell	MAST	singlecell
53	MSN_Drd2+_1	Itm2b	0.553857853690113	2.20606152662867e-87	1.19517059974319e-83	singlecell	MAST	singlecell
54	MSN_Drd2+_1	Itm2c	0.211781790992281	2.84849333455924e-13	1.45586673479847e-11	singlecell	MAST	singlecell
55	MSN_Drd2+_1	Jund	0.243802873280789	1.31871485486067e-19	1.71464580288404e-17	singlecell	MAST	singlecell
56	MSN_Drd2+_1	Kcna1	0.277800252115737	2.42822666120174e-24	4.43437841848448e-22	singlecell	MAST	singlecell
57	MSN_Drd2+_1	Kcnk1	0.20446667217089	3.33585147278113e-23	5.58944267908367e-21	singlecell	MAST	singlecell
58	MSN_Drd2+_1	Kif1a	0.250266035400866	3.27516318939009e-16	2.62222794665798e-14	singlecell	MAST	singlecell
59	MSN_Drd2+_1	Kifap3	0.330419068785372	4.33205272824674e-31	1.49806070196158e-28	singlecell	MAST	singlecell
60	MSN_Drd2+_1	Lingo2	0.491516922580671	1.36385954388185e-10	3.8417346909379e-09	singlecell	MAST	singlecell
61	MSN_Drd2+_1	Lrrc4	0.220806257265666	4.0584066330217e-16	3.15604224911492e-14	singlecell	MAST	singlecell
62	MSN_Drd2+_1	Lrtm1	0.487510847173328	2.09321072611592e-62	4.25261924144526e-59	singlecell	MAST	singlecell
63	MSN_Drd2+_1	Lysmd4	0.223103827174611	6.38429148171472e-15	4.18402780049634e-13	singlecell	MAST	singlecell
64	MSN_Drd2+_1	Lzts3	-0.201301746623502	2.01721684680556e-18	2.1152145426536e-16	singlecell	MAST	singlecell
65	MSN_Drd2+_1	Mdh1	0.258904832047573	1.64834721309485e-46	1.41003090812793e-43	singlecell	MAST	singlecell
66	MSN_Drd2+_1	Mrfap1	0.216531812202315	1.09080672729179e-17	1.04904625672624e-15	singlecell	MAST	singlecell
67	MSN_Drd2+_1	Ndufa6	-0.294725271850573	2.46618653239518e-55	3.08330228546299e-52	singlecell	MAST	singlecell
68	MSN_Drd2+_1	Nnat	0.216001255664335	3.10370613493896e-08	4.0323369952968e-07	singlecell	MAST	singlecell
69	MSN_Drd2+_1	Npas3	0.220584794312679	5.70812536526697e-05	0.000250944445663197	singlecell	MAST	singlecell
70	MSN_Drd2+_1	Npm1	0.313330011097222	1.38475496543372e-23	2.39430026097811e-21	singlecell	MAST	singlecell
71	MSN_Drd2+_1	Nsg1	0.317243232990137	3.04920662088564e-22	4.81152963196644e-20	singlecell	MAST	singlecell
72	MSN_Drd2+_1	Oprm1	0.247664234987418	3.30364127608341e-13	1.66235546935553e-11	singlecell	MAST	singlecell
73	MSN_Drd2+_1	Pafah1b1	0.210879305860721	2.53069985553144e-17	2.29784719284651e-15	singlecell	MAST	singlecell
74	MSN_Drd2+_1	Pbx3	-0.204989430274691	2.09783871331536e-10	5.58038831546882e-09	singlecell	MAST	singlecell
75	MSN_Drd2+_1	Pcsk1n	0.588363846580711	3.5720426387427e-79	1.1611281801497e-75	singlecell	MAST	singlecell
76	MSN_Drd2+_1	Peg3	0.221158184049997	1.20220551677508e-19	1.57576179549559e-17	singlecell	MAST	singlecell
77	MSN_Drd2+_1	Penk	0.263382208563129	3.11672882975264e-18	3.2060882069601e-16	singlecell	MAST	singlecell
78	MSN_Drd2+_1	Pgam1	0.234359329433565	1.776035234324e-25	3.6212609869906e-23	singlecell	MAST	singlecell
79	MSN_Drd2+_1	Pgrmc1	0.229389853407217	6.97181062187185e-27	1.71686118238308e-24	singlecell	MAST	singlecell
80	MSN_Drd2+_1	Pisd	-0.322582186141173	6.02804281380612e-34	2.38960438665344e-31	singlecell	MAST	singlecell
81	MSN_Drd2+_1	Ppia	0.252923407977676	1.24805852335678e-17	1.18623948421741e-15	singlecell	MAST	singlecell
82	MSN_Drd2+_1	Psma7	-0.225117453246431	3.14601009368353e-41	1.70440340175461e-38	singlecell	MAST	singlecell
83	MSN_Drd2+_1	Ptchd4	-0.220308284147606	2.30285016878807e-15	1.65611609704923e-13	singlecell	MAST	singlecell
84	MSN_Drd2+_1	Rab14	0.326304011055883	3.63204953951564e-25	7.16704854447223e-23	singlecell	MAST	singlecell
85	MSN_Drd2+_1	Reln	-0.233189578687199	5.58343854809211e-13	2.68484102728228e-11	singlecell	MAST	singlecell
86	MSN_Drd2+_1	Rnf150	-0.207123644636972	2.92401288139497e-15	2.0662600591875e-13	singlecell	MAST	singlecell
87	MSN_Drd2+_1	Robo2	-0.2329984514101	4.8652626803341e-18	4.85123400880185e-16	singlecell	MAST	singlecell
88	MSN_Drd2+_1	Rpl11	0.207159481766023	5.97452795799874e-20	8.09200024177946e-18	singlecell	MAST	singlecell
89	MSN_Drd2+_1	Rpl13	0.201865906135401	2.77499894973204e-14	1.6892156528088e-12	singlecell	MAST	singlecell
90	MSN_Drd2+_1	Rpl37	0.216397044659972	3.61988305883927e-16	2.85601744443275e-14	singlecell	MAST	singlecell
91	MSN_Drd2+_1	Rps12	-0.2038115993564	2.58491094775747e-51	3.00089697385015e-48	singlecell	MAST	singlecell
92	MSN_Drd2+_1	Rps21	0.309307698032989	1.24772264684584e-25	2.63366703625786e-23	singlecell	MAST	singlecell
93	MSN_Drd2+_1	Rps27	0.246425618084295	1.69502280975034e-18	1.81244774518896e-16	singlecell	MAST	singlecell
94	MSN_Drd2+_1	Rps29	0.224362818015197	1.81766017650635e-14	1.14063439570493e-12	singlecell	MAST	singlecell
95	MSN_Drd2+_1	Rps8	0.222825596893716	2.56965204856936e-13	1.3300813613184e-11	singlecell	MAST	singlecell
96	MSN_Drd2+_1	Rragd	0.222460772952294	6.90260004175045e-13	3.27078596147435e-11	singlecell	MAST	singlecell
97	MSN_Drd2+_1	Saraf	0.227579224660195	1.69863749493458e-24	3.13726763695134e-22	singlecell	MAST	singlecell
98	MSN_Drd2+_1	Scg2	0.721730654233121	3.54350101022374e-58	4.79937682659721e-55	singlecell	MAST	singlecell
99	MSN_Drd2+_1	Sec62	0.433125916613145	6.9072503537608e-35	3.03414972972092e-32	singlecell	MAST	singlecell
100	MSN_Drd2+_1	Selenom	-0.206548512017166	9.4778502025141e-37	4.53069115710181e-34	singlecell	MAST	singlecell
101	MSN_Drd2+_1	Serbp1	0.224367049932806	5.63206041320759e-11	1.74776987492416e-09	singlecell	MAST	singlecell
