Gene	cluster
Cntn3	Cluster_0
Tesc	Cluster_0
Eif1	Cluster_0
Me3	Cluster_0
Cttnbp2	Cluster_0
Ppp1r1b	Cluster_0
Strn	Cluster_0
Gpr6	Cluster_0
Epha4	Cluster_0
Adamts3	Cluster_0
Rasd2	Cluster_0
Rtn1	Cluster_0
Calm2	Cluster_0
Rbms1	Cluster_0
Ajap1	Cluster_0
Clmp	Cluster_0
Atp2b2	Cluster_0
Ppp1r7	Cluster_0
Mark1	Cluster_0
Arl15	Cluster_0
Unc79	Cluster_0
Tusc3	Cluster_0
Vdac1	Cluster_0
Phf24	Cluster_0
Cacng3	Cluster_0
Arhgap20	Cluster_0
Dok6	Cluster_0
Fkbp1a	Cluster_0
Gapdh	Cluster_0
Nkain3	Cluster_0
Osbp2	Cluster_0
Pak3	Cluster_0
Celf3	Cluster_0
Gabrd	Cluster_0
Nsg2	Cluster_0
Dlgap3	Cluster_0
Prkg1	Cluster_0
Plppr4	Cluster_0
Car11	Cluster_0
Nnat	Cluster_0
Celf5	Cluster_0
Mpp6	Cluster_0
Bcl11b	Cluster_0
Sorcs3	Cluster_0
Ppp1r9a	Cluster_0
Epha6	Cluster_0
Sptbn4	Cluster_0
Trerf1	Cluster_0
Ripor2	Cluster_0
Lrrtm4	Cluster_0
Scn4b	Cluster_0
Selenow	Cluster_0
Rabgap1l	Cluster_0
Atp6v0a1	Cluster_0
Reps2	Cluster_0
Adam12	Cluster_0
Ywhaz	Cluster_0
Rab6b	Cluster_0
Gabrb2	Cluster_0
Ptprm	Cluster_0
Adgrb3	Cluster_0
Bcr	Cluster_0
Zfp385b	Cluster_0
