Gene	cluster
Ak5	Cluster_0
Tmem191c	Cluster_0
Itpka	Cluster_0
Rasgrp2	Cluster_0
Car12	Cluster_0
Rbfox3	Cluster_0
Arhgef9	Cluster_0
Slc12a5	Cluster_0
Fbxl16	Cluster_0
Add2	Cluster_0
Sipa1l1	Cluster_0
Gda	Cluster_0
Nrg2	Cluster_0
Pitpnm2	Cluster_0
Aldoa	Cluster_0
5330417C22Rik	Cluster_0
Hs3st5	Cluster_0
Plcl2	Cluster_0
Sgk3	Cluster_0
Rbm24	Cluster_0
Jcad	Cluster_0
Ric8b	Cluster_0
Rasgef1a	Cluster_0
Cap2	Cluster_0
B3gat1	Cluster_0
Icam5	Cluster_0
Vav3	Cluster_0
Ngef	Cluster_0
Slc2a13	Cluster_0
Epb41l1	Cluster_0
Nptn	Cluster_0
Syt1	Cluster_0
Fam49a	Cluster_0
Kctd1	Cluster_0
Gucy1a2	Cluster_0
Atp6v1d	Cluster_0
Ptprn2	Cluster_0
Actg1	Cluster_0
Adk	Cluster_0
Chst1	Cluster_0
Focad	Cluster_0
Wipf3	Cluster_0
Kif5c	Cluster_0
Cx3cl1	Cluster_0
Fry	Cluster_0
Ptprn	Cluster_0
Pkm	Cluster_0
Tmem132b	Cluster_0
Nlgn1	Cluster_0
Efnb2	Cluster_0
Rap2b	Cluster_0
Nsg1	Cluster_0
Matk	Cluster_0
Prmt8	Cluster_0
Myh10	Cluster_0
Grin1	Cluster_0
Nkain2	Cluster_0
Actn2	Cluster_0
Dgki	Cluster_0
Dpy19l3	Cluster_0
Scn1a	Cluster_0
Arf3	Cluster_0
Rab40b	Cluster_0
Nin	Cluster_0
Dmd	Cluster_0
Kcnh1	Cluster_0
Necab2	Cluster_0
Ppp3r1	Cluster_0
Clip4	Cluster_0
Cacna2d2	Cluster_0
Tenm4	Cluster_0
Brinp1	Cluster_0
Dclk3	Cluster_0
Rock2	Cluster_0
Lmo3	Cluster_0
Prkar2b	Cluster_0
Thrb	Cluster_0
Scn8a	Cluster_0
Ano2	Cluster_0
Nbea	Cluster_0
Ankrd33b	Cluster_0
Pcsk5	Cluster_0
Camk2a	Cluster_0
Rapgef4	Cluster_0
Zfyve28	Cluster_0
Trhr	Cluster_0
Gabra2	Cluster_0
Sorl1	Cluster_0
5730522E02Rik	Cluster_0
Hsph1	Cluster_0
Nt5e	Cluster_0
Slc6a6	Cluster_0
Kcnq3	Cluster_0
Nell2	Cluster_0
Fnbp1l	Cluster_0
Lrrc4c	Cluster_0
Hs6st2	Cluster_0
Pmepa1	Cluster_0
Prr7	Cluster_0
Pigk	Cluster_0
Zfhx3	Cluster_0
Ldb2	Cluster_0
Gabrb3	Cluster_0
Sorbs2	Cluster_0
Tln2	Cluster_0
Necab1	Cluster_0
Atxn1	Cluster_0
Adam23	Cluster_0
Kcnd2	Cluster_0
Ptprd	Cluster_0
Gad2	Cluster_0
Grid1	Cluster_0
Chsy3	Cluster_0
Ank3	Cluster_0
Xkr4	Cluster_0
Rcan2	Cluster_0
Gas7	Cluster_0
Il1rapl1	Cluster_0
St6galnac5	Cluster_0
Frmpd4	Cluster_0
Pard3	Cluster_0
Tenm2	Cluster_0
Pclo	Cluster_0
Tiam2	Cluster_0
Grik2	Cluster_0
Adgrl3	Cluster_0
Lrp1b	Cluster_0
Elmo1	Cluster_0
Stox2	Cluster_0
Lrfn5	Cluster_0
Slc22a23	Cluster_0
Macrod2	Cluster_0
Kirrel3	Cluster_0
Dtnb	Cluster_0
Arel1	Cluster_0
Fam102b	Cluster_0
Foxo1	Cluster_0
Hras	Cluster_0
Gnb2	Cluster_0
Gap43	Cluster_0
Ptms	Cluster_0
Traip	Cluster_0
Crocc	Cluster_0
Arhgap33	Cluster_0
Fam110b	Cluster_0
Gcnt2	Cluster_0
Vat1l	Cluster_0
Efna5	Cluster_0
Actb	Cluster_0
Tomm20	Cluster_0
Pja2	Cluster_0
Ppp1ca	Cluster_0
Camkk2	Cluster_0
Pifo	Cluster_0
Gm1043	Cluster_0
Got1	Cluster_0
Lzts1	Cluster_0
Tsnax	Cluster_0
Nebl	Cluster_0
Enpp5	Cluster_0
Rasgrp1	Cluster_0
Kcnip3	Cluster_0
Cplx2	Cluster_0
Ttc3	Cluster_0
Xkr6	Cluster_0
Acp1	Cluster_0
Flrt3	Cluster_0
Inf2	Cluster_0
Stk26	Cluster_0
Trim46	Cluster_0
Smpdl3b	Cluster_0
Rit2	Cluster_0
Nsf	Cluster_0
Rgs17	Cluster_0
Ksr2	Cluster_0
Rab27b	Cluster_0
Slmap	Cluster_0
Slc22a17	Cluster_0
Bex2	Cluster_0
Ubb	Cluster_0
Zcchc18	Cluster_0
Gulp1	Cluster_0
Kazn	Cluster_0
Mtcl1	Cluster_0
Tsc22d1	Cluster_0
B3galt5	Cluster_0
Gabrg2	Cluster_0
Hsp90ab1	Cluster_0
Gucd1	Cluster_0
Csrnp3	Cluster_0
Kcnt1	Cluster_0
Ncdn	Cluster_0
Hspa8	Cluster_0
Ap1s1	Cluster_0
Scmh1	Cluster_0
S100pbp	Cluster_0
Plekha6	Cluster_0
Usp29	Cluster_0
Nrgn	Cluster_0
Pdp1	Cluster_0
Dbn1	Cluster_0
Arhgap32	Cluster_0
Slc4a3	Cluster_0
Rimbp2	Cluster_0
Cyfip2	Cluster_0
Atf6	Cluster_0
Fam126b	Cluster_0
Pdzrn4	Cluster_0
Morf4l1	Cluster_0
Erlin1	Cluster_0
Fgf10	Cluster_0
Kif17	Cluster_0
Cit	Cluster_0
Nedd4l	Cluster_0
Ppp1r1a	Cluster_0
Scn2a	Cluster_0
Glp2r	Cluster_0
Col6a1	Cluster_0
Tspoap1	Cluster_0
Scn9a	Cluster_0
Pcdh17	Cluster_0
9330182L06Rik	Cluster_0
Cobl	Cluster_0
Htr1b	Cluster_0
Zdbf2	Cluster_0
Arpc2	Cluster_0
R3hdm4	Cluster_0
Nap1l1	Cluster_0
Sntb2	Cluster_0
Kcnq2	Cluster_0
Dzank1	Cluster_0
Tspyl4	Cluster_0
Ulk4	Cluster_0
Abi2	Cluster_0
Ppp2r2c	Cluster_0
C2cd2l	Cluster_0
Shisa7	Cluster_0
Tcaf1	Cluster_0
Zdhhc2	Cluster_0
Atp1a1	Cluster_0
Kifap3	Cluster_0
Ckb	Cluster_0
Plxna2	Cluster_0
Smarca1	Cluster_0
Oaz1	Cluster_0
Ppp4r4	Cluster_0
Ephx4	Cluster_0
St3gal5	Cluster_0
Adgrb2	Cluster_0
Rhobtb2	Cluster_0
Ywhab	Cluster_0
Sptbn2	Cluster_0
Dgat2	Cluster_0
Fkbp2	Cluster_0
Sptb	Cluster_0
Klhl3	Cluster_0
Sub1	Cluster_0
Tpm1	Cluster_0
Ccdc187	Cluster_0
Reep1	Cluster_0
Mlip	Cluster_0
Brk1	Cluster_0
Lrrk2	Cluster_0
Jakmip1	Cluster_0
Jph4	Cluster_0
Lrrfip1	Cluster_0
Ror1	Cluster_0
Slit2	Cluster_0
Nipal2	Cluster_0
Cep126	Cluster_0
Dmtn	Cluster_0
Tspan13	Cluster_0
Serp2	Cluster_0
Pdxk	Cluster_0
Pdlim7	Cluster_0
Gm15155	Cluster_0
Unc13a	Cluster_0
Lrrn2	Cluster_0
Scg2	Cluster_0
Fstl4	Cluster_1
Lingo2	Cluster_1
Hs6st3	Cluster_1
Tenm2	Cluster_1
Zfp385b	Cluster_1
Mctp1	Cluster_1
Nrg3	Cluster_1
Rarb	Cluster_1
A830018L16Rik	Cluster_1
Cacna2d3	Cluster_1
Kctd8	Cluster_1
Drd1	Cluster_1
Camk4	Cluster_1
Brinp1	Cluster_1
Pde10a	Cluster_1
Rgs9	Cluster_1
Slc24a4	Cluster_1
Strn	Cluster_1
Plcxd3	Cluster_1
Tac1	Cluster_1
Kcnh1	Cluster_1
Htr1f	Cluster_1
Slc35f3	Cluster_1
Ctnna3	Cluster_1
Htr4	Cluster_1
Slit3	Cluster_1
Adcy5	Cluster_1
Cntn5	Cluster_1
Adam12	Cluster_1
Strip2	Cluster_1
Caln1	Cluster_1
Lrrtm3	Cluster_1
Pde1b	Cluster_1
Cntnap3	Cluster_1
Kcnq5	Cluster_1
Ndrg4	Cluster_1
Cdh18	Cluster_1
Sv2b	Cluster_1
Nup93	Cluster_1
Gnal	Cluster_1
Dgkh	Cluster_1
Syndig1	Cluster_1
Ntn1	Cluster_1
Phactr1	Cluster_1
Ryr3	Cluster_1
Lrtm1	Cluster_1
Reln	Cluster_1
Ppp1r2	Cluster_1
Prkch	Cluster_1
Onecut2	Cluster_1
Grik2	Cluster_1
Zfp804a	Cluster_1
Itpr1	Cluster_1
Alcam	Cluster_1
Slit2	Cluster_1
Sulf1	Cluster_1
Sdk1	Cluster_1
Grm7	Cluster_1
Drd3	Cluster_1
Rap1gap	Cluster_1
Chn1	Cluster_1
Nlgn1	Cluster_1
Foxp1	Cluster_1
Lrrc4c	Cluster_1
Cntnap5a	Cluster_1
Arhgap10	Cluster_1
Gprin3	Cluster_1
Tenm4	Cluster_1
Pdzd2	Cluster_1
Cpne5	Cluster_1
Shisa9	Cluster_1
Kcnab1	Cluster_1
Fgf14	Cluster_1
Plppr1	Cluster_1
Actn2	Cluster_1
Kitl	Cluster_1
Gabrg3	Cluster_1
Grm5	Cluster_1
Kctd1	Cluster_1
Sorcs3	Cluster_1
Adamts3	Cluster_1
Osbpl8	Cluster_1
Smpd3	Cluster_1
Lrfn5	Cluster_1
Ppp3ca	Cluster_1
Lrrc7	Cluster_1
Pdyn	Cluster_1
Tomm70a	Cluster_1
Gm15155	Cluster_1
Khdrbs2	Cluster_1
Rnf112	Cluster_1
Dtnb	Cluster_1
Impg1	Cluster_1
Celf2	Cluster_1
Gng7	Cluster_1
Nrg1	Cluster_1
Npas2	Cluster_1
Pde7b	Cluster_1
Spock3	Cluster_1
Dcc	Cluster_1
Neto1	Cluster_1
Kcnip2	Cluster_1
Arpp21	Cluster_1
Cdh8	Cluster_1
Atp2b1	Cluster_1
Zfyve28	Cluster_1
5730522E02Rik	Cluster_1
Foxp2	Cluster_1
Cntnap5c	Cluster_1
Trpc7	Cluster_1
Baiap2	Cluster_1
Nos1ap	Cluster_1
Tsnax	Cluster_1
Rbfox3	Cluster_1
Grin2b	Cluster_1
Macrod2	Cluster_1
Pdzrn4	Cluster_1
Rnf150	Cluster_1
Spock1	Cluster_1
Klhl29	Cluster_1
Fras1	Cluster_1
Rbfox1	Cluster_1
Arel1	Cluster_1
Mei4	Cluster_1
Unc13c	Cluster_1
Elmod1	Cluster_1
Celf5	Cluster_1
Gpr158	Cluster_1
Fnbp1l	Cluster_1
Erc2	Cluster_1
Rtn1	Cluster_1
Mgat4c	Cluster_1
Acp1	Cluster_1
Sez6	Cluster_1
Cnksr2	Cluster_1
Homer1	Cluster_1
St8sia3	Cluster_1
Rasgef1b	Cluster_1
Inf2	Cluster_1
Oprk1	Cluster_1
Dlgap2	Cluster_1
Trank1	Cluster_1
Map1b	Cluster_1
Zdhhc23	Cluster_1
Gm1043	Cluster_1
Gad2	Cluster_1
Cacnb2	Cluster_1
Pcsk2	Cluster_1
Syt7	Cluster_1
Nell2	Cluster_1
Kcnk2	Cluster_1
Nkain2	Cluster_1
Myt1l	Cluster_1
Usp29	Cluster_1
Ppp1r9a	Cluster_1
Pde1c	Cluster_1
Camk2a	Cluster_1
Lrrfip1	Cluster_1
Slc2a13	Cluster_1
Sntg2	Cluster_1
Pard3	Cluster_1
Ptprn2	Cluster_1
Entpd3	Cluster_1
Cttnbp2	Cluster_1
Dclk3	Cluster_1
Ablim2	Cluster_1
Cacna1e	Cluster_1
Dgkz	Cluster_1
Gabrb2	Cluster_1
Anks1b	Cluster_1
Csmd1	Cluster_1
Rgs7bp	Cluster_1
Ly6h	Cluster_1
Galnt18	Cluster_1
Plekha5	Cluster_1
Ptchd4	Cluster_1
Bend7	Cluster_1
Cacnb4	Cluster_1
Rims1	Cluster_1
Ptpn5	Cluster_1
Stxbp5l	Cluster_1
Sipa1l1	Cluster_1
Prkcb	Cluster_1
Gria1	Cluster_1
Unc79	Cluster_1
Atp2b2	Cluster_1
Smug1	Cluster_1
Sntg1	Cluster_1
Grin2a	Cluster_1
Rims2	Cluster_1
Isl1	Cluster_1
Col25a1	Cluster_1
Nptn	Cluster_1
Col11a1	Cluster_1
Ank3	Cluster_1
Stox2	Cluster_1
Fstl5	Cluster_1
Ano3	Cluster_1
Ephb1	Cluster_1
Runx1t1	Cluster_1
Slc35d3	Cluster_1
Ralyl	Cluster_1
Il1rapl1	Cluster_1
Ptprd	Cluster_1
Stk32a	Cluster_1
Prkar2b	Cluster_1
Sorcs1	Cluster_1
Galnt13	Cluster_1
P2ry14	Cluster_1
Rasgrp1	Cluster_1
Wasf1	Cluster_1
Sorbs2	Cluster_1
Epha7	Cluster_1
Cdk17	Cluster_1
Lzts1	Cluster_1
Nsg2	Cluster_1
Lrp1b	Cluster_1
Cdh7	Cluster_1
Chsy3	Cluster_1
Ric8b	Cluster_1
Lrrn3	Cluster_1
Dapk1	Cluster_1
Matk	Cluster_1
Gria3	Cluster_1
Thsd7a	Cluster_1
Camkv	Cluster_1
Gulp1	Cluster_1
Pak3	Cluster_1
Plxna2	Cluster_1
Pde11a	Cluster_1
Fry	Cluster_1
Tbc1d8	Cluster_1
Dgkb	Cluster_1
Sv2c	Cluster_1
Calm2	Cluster_1
Adam23	Cluster_1
Reps2	Cluster_1
B3galt5	Cluster_1
Tmem158	Cluster_1
Arhgef9	Cluster_1
Akap5	Cluster_1
Me3	Cluster_1
Kctd16	Cluster_1
Sptbn4	Cluster_1
Car12	Cluster_1
Ntrk3	Cluster_1
Lrrn2	Cluster_1
Gnb4	Cluster_1
Cdh12	Cluster_1
Lmo4	Cluster_1
Lingo1	Cluster_1
Celf4	Cluster_1
Arhgap20	Cluster_1
Scn4b	Cluster_1
Gabrb3	Cluster_1
Camk2b	Cluster_1
Mme	Cluster_1
Mrtfb	Cluster_1
Frmpd4	Cluster_1
Abat	Cluster_1
2010300C02Rik	Cluster_1
Pifo	Cluster_1
Prkcg	Cluster_1
Tmem191c	Cluster_1
Tenm1	Cluster_1
Nexn	Cluster_1
Lin7a	Cluster_1
Sh2d5	Cluster_1
Osbp2	Cluster_1
Diaph2	Cluster_1
Epyc	Cluster_1
Rasgef1a	Cluster_1
Lzts3	Cluster_1
Selenow	Cluster_1
Cyld	Cluster_1
Ahi1	Cluster_1
Dok6	Cluster_1
Cplx2	Cluster_1
Gabra4	Cluster_1
Snhg11	Cluster_1
Cntnap5b	Cluster_1
Crybg3	Cluster_1
Crocc	Cluster_1
Tmem132b	Cluster_1
Lmo7	Cluster_1
Mark1	Cluster_1
Lin28b	Cluster_1
Fat3	Cluster_1
Lpl	Cluster_1
Ripor2	Cluster_1
Clmp	Cluster_1
Nin	Cluster_1
Add2	Cluster_1
5330417C22Rik	Cluster_1
Ppp1r7	Cluster_1
Rgs17	Cluster_1
Bcr	Cluster_1
Map3k5	Cluster_1
Lrrtm4	Cluster_1
Tesc	Cluster_1
Bcl11b	Cluster_1
Phf24	Cluster_1
Rab40b	Cluster_1
Rapgef4	Cluster_1
Kif26b	Cluster_1
Scn8a	Cluster_1
Lmo3	Cluster_1
Fkbp1a	Cluster_1
Camkk2	Cluster_1
Epb41	Cluster_1
Ccdc88c	Cluster_1
Col6a1	Cluster_1
Kcna4	Cluster_1
Rab15	Cluster_1
Gsg1l	Cluster_1
Nedd4l	Cluster_1
Plk2	Cluster_1
Cdh9	Cluster_1
Focad	Cluster_1
Tsc22d1	Cluster_1
Dchs2	Cluster_1
Ankrd33b	Cluster_1
Clip4	Cluster_1
Fbxl16	Cluster_1
Jakmip1	Cluster_1
Rps6ka3	Cluster_1
Ppp1r1b	Cluster_1
Plcl2	Cluster_1
Clvs1	Cluster_1
Jcad	Cluster_1
Prkce	Cluster_1
Gsdme	Cluster_1
Osbpl6	Cluster_1
Flrt3	Cluster_1
Mlip	Cluster_1
Celf3	Cluster_1
Tle4	Cluster_1
Fam49a	Cluster_1
Trim46	Cluster_1
Xkr6	Cluster_1
Fam102b	Cluster_1
Arhgap6	Cluster_1
Neto2	Cluster_1
Efnb2	Cluster_1
Nrg2	Cluster_1
Ywhaz	Cluster_1
Car11	Cluster_1
Foxo1	Cluster_1
Syt1	Cluster_1
Gabrd	Cluster_1
Atp6v0a1	Cluster_1
Nova1	Cluster_1
Gpi1	Cluster_1
Stard5	Cluster_1
Zbtb7c	Cluster_1
Cacna1h	Cluster_1
Chst15	Cluster_1
Kalrn	Cluster_1
Tiam2	Cluster_1
Arhgap33	Cluster_1
Ptpre	Cluster_1
Rit2	Cluster_1
Gm1604a	Cluster_1
Hap1	Cluster_1
Begain	Cluster_1
Pcdh17	Cluster_1
Actn1	Cluster_1
Prkcz	Cluster_1
Gap43	Cluster_1
Hpca	Cluster_1
Snca	Cluster_1
D430041D05Rik	Cluster_1
Arl15	Cluster_1
Arpp19	Cluster_1
Tub	Cluster_1
Rock2	Cluster_1
Ccdc187	Cluster_1
Spock2	Cluster_1
Scn2a	Cluster_1
Epb41l1	Cluster_1
Myo1b	Cluster_1
Kcnb1	Cluster_1
Rcan2	Cluster_1
Kcnt1	Cluster_1
Slmap	Cluster_1
Ptprn	Cluster_1
Filip1	Cluster_1
Mpp6	Cluster_1
Pigk	Cluster_1
Arl4a	Cluster_1
Ulk4	Cluster_1
Inpp4a	Cluster_1
Med12l	Cluster_1
Ptchd1	Cluster_1
Tln2	Cluster_1
Cx3cl1	Cluster_1
Tmem91	Cluster_1
Ksr2	Cluster_1
Ramp1	Cluster_1
Necab2	Cluster_1
Tgfbr3	Cluster_1
Slc12a5	Cluster_1
Glp2r	Cluster_1
Jph4	Cluster_1
Greb1l	Cluster_1
Dlg2	Cluster_1
Nsf	Cluster_1
Speg	Cluster_1
Dlgap3	Cluster_1
Rap2b	Cluster_1
Fntb	Cluster_1
Slc2a3	Cluster_1
Traip	Cluster_1
Rab6b	Cluster_1
Ppp2r2c	Cluster_1
Tspoap1	Cluster_1
Ppp1r1a	Cluster_1
Kif5c	Cluster_1
Pdzd4	Cluster_1
Ppargc1b	Cluster_1
Rbm24	Cluster_1
Kcnq2	Cluster_1
Kif17	Cluster_1
Myh10	Cluster_1
Tmtc1	Cluster_1
Dsel	Cluster_1
Slc4a3	Cluster_1
Itpka	Cluster_1
Lingo2	Cluster_2
Ebf1	Cluster_2
Prkg1	Cluster_2
Pde1c	Cluster_2
Pdzd2	Cluster_2
Nrg1	Cluster_2
Reln	Cluster_2
Pde1a	Cluster_2
Cntnap2	Cluster_2
Kcnip4	Cluster_2
Ptchd4	Cluster_2
Kcnq5	Cluster_2
Cntnap5a	Cluster_2
Prkch	Cluster_2
Cntnap3	Cluster_2
Man1a	Cluster_2
Elmod1	Cluster_2
Calb1	Cluster_2
Nlgn1	Cluster_2
Htr2c	Cluster_2
Rasgef1b	Cluster_2
Sgk1	Cluster_2
Unc13c	Cluster_2
Mei4	Cluster_2
Slc35f3	Cluster_2
Camk4	Cluster_2
Cdh7	Cluster_2
Ccdc88c	Cluster_2
Prkcb	Cluster_2
Mlip	Cluster_2
Lmo7	Cluster_2
Grm5	Cluster_2
Arhgap10	Cluster_2
Dlk1	Cluster_2
Hs3st5	Cluster_2
Ppp1r2	Cluster_2
Rarb	Cluster_2
Dach1	Cluster_2
Ano3	Cluster_2
Ryr3	Cluster_2
Dab1	Cluster_2
Drd1	Cluster_2
Kctd16	Cluster_2
Plppr1	Cluster_2
Rab27b	Cluster_2
St6galnac5	Cluster_2
Csmd1	Cluster_2
Lrfn5	Cluster_2
Ptprd	Cluster_2
Pifo	Cluster_2
Dlgap2	Cluster_2
Nkain3	Cluster_2
Dcc	Cluster_2
Kif26b	Cluster_2
Prkcg	Cluster_2
Ablim2	Cluster_2
Pigk	Cluster_2
Sgk3	Cluster_2
Mctp1	Cluster_2
Fstl4	Cluster_2
Erc2	Cluster_2
Trank1	Cluster_2
Rasgrf1	Cluster_2
Acp1	Cluster_2
Cnksr2	Cluster_2
Robo2	Cluster_2
Grik2	Cluster_2
Gda	Cluster_2
Cacna1e	Cluster_2
Adcy5	Cluster_2
Dpy19l3	Cluster_2
Rbfox1	Cluster_2
Cacna2d3	Cluster_2
Col6a1	Cluster_2
Cacng3	Cluster_2
Ppp3ca	Cluster_2
Crocc	Cluster_2
Anks1b	Cluster_2
Sh3rf2	Cluster_2
Phf24	Cluster_2
Baiap2	Cluster_2
Akap5	Cluster_2
Stk31	Cluster_2
Zfhx3	Cluster_2
Klhl29	Cluster_2
Alcam	Cluster_2
Gria3	Cluster_2
P2ry14	Cluster_2
Nell2	Cluster_2
Syt7	Cluster_2
Shisa9	Cluster_2
Grm7	Cluster_2
Stk32a	Cluster_2
Cdh18	Cluster_2
Reps2	Cluster_2
Man1a2	Cluster_2
Grin2b	Cluster_2
Ptpn5	Cluster_2
Chn1	Cluster_2
Kcnab1	Cluster_2
Arpp21	Cluster_2
Rgs6	Cluster_2
Plxna2	Cluster_2
Kctd1	Cluster_2
Car12	Cluster_2
Ncdn	Cluster_2
Cntn3	Cluster_2
Pde1b	Cluster_2
Wfs1	Cluster_2
Ppp4r4	Cluster_2
Sntg2	Cluster_2
Prr16	Cluster_2
Grm1	Cluster_2
Hs3st4	Cluster_2
Adgrl2	Cluster_2
Cntnap5b	Cluster_2
Grid2	Cluster_2
