Gene	cluster
Gpr158	Drd1-MSN
Brinp1	Drd1-MSN
Npas2	Drd1-MSN
Lrfn5	Drd1-MSN
Nebl	Drd1-MSN
Trim9	Drd1-MSN
Adgrl2	Drd1-MSN
Grm1	Drd1-MSN
Fat3	Drd1-MSN
Slc7a14	Drd1-MSN
Gng7	Drd1-MSN
Sv2c	Drd1-MSN
Snca	Drd1-MSN
Scn3b	Drd1-MSN
Dpy19l3	Drd1-MSN
Mpp7	Drd1-MSN
Zdhhc2	Drd1-MSN
Tmtc1	Drd1-MSN
Mpp6	Drd1-MSN
Frmd6	Drd1-MSN
Atp6ap1l	Drd1-MSN
Foxp2	Drd1-MSN
Sntb2	Drd1-MSN
March4	Drd1-MSN
Runx1t1	Drd1-MSN
Eif2ak2	Drd1-MSN
Lrrc8c	Drd1-MSN
Unc13c	Drd1-MSN
Dync1i1	Drd1-MSN
Chsy3	Drd1-MSN
AABR07026957.1	Drd1-MSN
Dclk1	Drd1-MSN
Mtcl1	Drd1-MSN
Camkk2	Drd1-MSN
Ptprn	Drd1-MSN
Wfs1	Drd1-MSN
Pde1b	Drd1-MSN
Dlgap2	Drd1-MSN
Lrrk2	Drd1-MSN
Ldb2	Drd1-MSN
Vat1l	Drd1-MSN
Rit2	Drd1-MSN
Synpr	Drd1-MSN
Nrg2	Drd1-MSN
Slc24a4	Drd1-MSN
Fras1	Drd1-MSN
Osbpl10	Drd1-MSN
Kcnn3	Drd1-MSN
Nrg1	Drd1-MSN
Gria3	Drd1-MSN
Chst15	Drd1-MSN
Osbpl8	Drd1-MSN
Gabrg3	Drd1-MSN
Efnb2	Drd1-MSN
Pde9a	Drd1-MSN
Shank2	Drd1-MSN
Cntn3	Drd1-MSN
Fnbp1l	Drd1-MSN
Nedd4l	Drd1-MSN
Pdp1	Drd1-MSN
Rtn4rl1	Drd1-MSN
Ramp1	Drd1-MSN
Wipf3	Drd1-MSN
AABR07027306.1	Drd1-MSN
Pde8b	Drd1-MSN
Rgs17	Drd1-MSN
Ubash3b	Drd1-MSN
Chrm4	Drd1-MSN
Htr2c	Drd1-MSN
Rasgrf1	Drd1-MSN
Pbx3	Drd1-MSN
Shc3	Drd1-MSN
Samd5	Drd1-MSN
Slc2a13	Drd1-MSN
Mtus2	Drd1-MSN
AABR07060133.1	Drd1-MSN
Osbp2	Drd1-MSN
Phf24	Drd1-MSN
Adamts3	Drd1-MSN
AABR07031533.1	Drd1-MSN
AABR07007916.1	Drd1-MSN
Alcam	Drd1-MSN
Reep1	Drd1-MSN
Gabrb2	Drd1-MSN
Gpc6	Drd1-MSN
Slc7a8	Drd1-MSN
Tmem164	Drd1-MSN
Ephb1	Drd1-MSN
Cntnap5b	Drd1-MSN
Erc2	Drd1-MSN
Lmo3	Drd1-MSN
Lzts1	Drd1-MSN
Vav3	Drd1-MSN
Man2a1	Drd1-MSN
Frmpd4	Drd1-MSN
Nyap2	Drd1-MSN
Csmd1	Drd1-MSN
Kif26b	Drd1-MSN
Efna5	Drd1-MSN
Neto2	Drd1-MSN
Bcl2	Drd1-MSN
Clvs2	Drd1-MSN
Etv5	Drd1-MSN
Fam189a1	Drd1-MSN
Zfp385d	Drd1-MSN
RGD1310819	Drd1-MSN
Gulp1	Drd1-MSN
Cntn4	Drd1-MSN
Snhg11	Drd1-MSN
Ajap1	Drd1-MSN
Ppp4r4	Drd1-MSN
Rims1	Drd1-MSN
Ccdc148	Drd1-MSN
Camk1d	Drd1-MSN
Gabra2	Drd1-MSN
Tiam2	Drd1-MSN
Cdc42ep3	Drd1-MSN
Lmo4	Drd1-MSN
Hfm1	Drd1-MSN
Nup93	Drd1-MSN
Fam49a	Drd1-MSN
Pitpnm3	Drd1-MSN
LOC100361087	Drd1-MSN
Tpd52l1	Drd1-MSN
Aff3	Drd1-MSN
Syt6	Drd1-MSN
Dab1	Drd1-MSN
Pdyn	Drd1-MSN
AC126641.1	Drd1-MSN
Pdgfc	Drd1-MSN
Zfp831	Drd1-MSN
Sorcs3	Drd1-MSN
Plcxd3	Drd1-MSN
Gas7	Drd1-MSN
Tec	Drd1-MSN
Sh3pxd2a	Drd1-MSN
Gap43	Drd1-MSN
Necab1	Drd1-MSN
Rgs20	Drd1-MSN
Cbr3	Drd1-MSN
Ptchd1	Drd1-MSN
Cnnm1	Drd1-MSN
Ankrd33b	Drd1-MSN
Man1c1	Drd1-MSN
AABR07026805.1	Drd1-MSN
Rbms3	Drd1-MSN
Rasgrp1	Drd1-MSN
AABR07058158.1	Drd1-MSN
Gad1	Drd1-MSN
Entpd3	Drd1-MSN
Isl1	Drd1-MSN
Actn2	Drd1-MSN
Slc4a4	Drd1-MSN
Bcl11a	Drd1-MSN
Onecut2	Drd1-MSN
Synpo2	Drd1-MSN
Grasp	Drd1-MSN
Kcnk13	Drd1-MSN
Calb1	Drd1-MSN
Ankrd55	Drd1-MSN
Ptprr	Drd1-MSN
Grb10	Drd1-MSN
Drd3	Drd1-MSN
LOC679342	Drd1-MSN
Pcp4	Drd1-MSN
AABR07016674.1	Drd1-MSN
Acvr1c	Drd1-MSN
Rerg	Drd1-MSN
Kirrel3	Drd1-MSN
Sntg2	Drd1-MSN
Gda	Drd1-MSN
Tet3	Drd1-MSN
Ntn1	Drd1-MSN
Wdr17	Drd1-MSN
Dclk3	Drd1-MSN
Slc16a2	Drd1-MSN
AABR07019254.2	Drd1-MSN
Myo1b	Drd1-MSN
Cntn5	Drd1-MSN
Smpd3	Drd1-MSN
Syt10	Drd1-MSN
Pde4a	Drd1-MSN
Ralyl	Drd1-MSN
Tesc	Drd1-MSN
Nmnat2	Drd1-MSN
Stk32a	Drd1-MSN
Scn4b	Drd1-MSN
Cdh7	Drd1-MSN
Plcb1	Drd1-MSN
Hlf	Drd1-MSN
R3hdm1	Drd1-MSN
AABR07051892.1	Drd1-MSN
Sorbs1	Drd1-MSN
Trak1	Drd1-MSN
Art3	Drd1-MSN
Plk2	Drd1-MSN
AABR07032496.1	Drd1-MSN
Crym	Drd1-MSN
Scg2	Drd1-MSN
Pmepa1	Drd1-MSN
Iqgap2	Drd1-MSN
Cadm2	Drd1-MSN
