Gene	cell_type	Direction
CHMP1A	Astrocytes	DownReg
RNF103-CHMP3	Astrocytes	DownReg
CHMP3	Astrocytes	DownReg
CHMP5	Astrocytes	DownReg
CLCN4	Astrocytes	DownReg
CLDND1	Astrocytes	DownReg
CLTB	Astrocytes	DownReg
CLTC	Astrocytes	DownReg
CNIH1	Astrocytes	DownReg
COA6	Astrocytes	DownReg
COPG1	Astrocytes	DownReg
COX7C	Astrocytes	DownReg
CPSF2	Astrocytes	DownReg
CTNNB1	Astrocytes	DownReg
CTNNBIP1	Astrocytes	DownReg
CUTA	Astrocytes	DownReg
CWC25	Astrocytes	DownReg
CYC1	Astrocytes	DownReg
CYLD	Astrocytes	DownReg
DBNL	Astrocytes	DownReg
DDX18	Astrocytes	DownReg
DDX55	Astrocytes	DownReg
DEK	Astrocytes	DownReg
DLGAP4	Astrocytes	DownReg
DMXL2	Astrocytes	DownReg
DNAJA2	Astrocytes	DownReg
DNAJB6	Astrocytes	DownReg
DNAJC10	Astrocytes	DownReg
DNAJC5	Astrocytes	DownReg
DNAJC8	Astrocytes	DownReg
DOLK	Astrocytes	DownReg
DPM2	Astrocytes	DownReg
DPYSL2	Astrocytes	DownReg
DRAP1	Astrocytes	DownReg
DTD1	Astrocytes	DownReg
DYNC1I2	Astrocytes	DownReg
DYNC1LI2	Astrocytes	DownReg
DYNC2LI1	Astrocytes	DownReg
EDF1	Astrocytes	DownReg
EEF1D	Astrocytes	DownReg
EGLN2	Astrocytes	DownReg
EID2B	Astrocytes	DownReg
EIF1AX	Astrocytes	DownReg
EIF2B5	Astrocytes	DownReg
EIF2S2	Astrocytes	DownReg
EIF3A	Astrocytes	DownReg
EIF3E	Astrocytes	DownReg
ELOC	Astrocytes	DownReg
EMC1	Astrocytes	DownReg
EPN1	Astrocytes	DownReg
EPRS1	Astrocytes	DownReg
ERF	Astrocytes	DownReg
ERH	Astrocytes	DownReg
ETNPPL	Astrocytes	DownReg
EVA1A	Astrocytes	DownReg
FABP5	Astrocytes	DownReg
FAM107A	Astrocytes	DownReg
FAM117B	Astrocytes	DownReg
FAM126B	Astrocytes	DownReg
FAM171B	Astrocytes	DownReg
FAM184A	Astrocytes	DownReg
FAM214A	Astrocytes	DownReg
FAM98B	Astrocytes	DownReg
FARP1	Astrocytes	DownReg
FBXO21	Astrocytes	DownReg
FBXO34	Astrocytes	DownReg
FBXO9	Astrocytes	DownReg
FBXW7	Astrocytes	DownReg
FEM1B	Astrocytes	DownReg
FEZ1	Astrocytes	DownReg
FH	Astrocytes	DownReg
FKBP5	Astrocytes	DownReg
FLYWCH1	Astrocytes	DownReg
FOXP1	Astrocytes	DownReg
G3BP2	Astrocytes	DownReg
GABARAP	Astrocytes	DownReg
GATD1	Astrocytes	DownReg
GID8	Astrocytes	DownReg
GIPC1	Astrocytes	DownReg
GJB6	Astrocytes	DownReg
GMFB	Astrocytes	DownReg
GNA11	Astrocytes	DownReg
GNL3L	Astrocytes	DownReg
GPI	Astrocytes	DownReg
GPRASP1	Astrocytes	DownReg
GPS1	Astrocytes	DownReg
GRPEL1	Astrocytes	DownReg
GTF2F1	Astrocytes	DownReg
GTF2H5	Astrocytes	DownReg
H3-3A	Astrocytes	DownReg
HAGH	Astrocytes	DownReg
HDAC2	Astrocytes	DownReg
HIF3A	Astrocytes	DownReg
HNRNPAB	Astrocytes	DownReg
HNRNPD	Astrocytes	DownReg
HNRNPK	Astrocytes	DownReg
HNRNPUL2-BSCL2	Astrocytes	DownReg
HNRNPUL2	Astrocytes	DownReg
HP1BP3	Astrocytes	DownReg
HSPA4	Astrocytes	DownReg
HSPA9	Astrocytes	DownReg
HTATSF1	Astrocytes	DownReg
ICE1	Astrocytes	DownReg
IDH3G	Astrocytes	DownReg
IFT22	Astrocytes	DownReg
IGIP	Astrocytes	DownReg
IK	Astrocytes	DownReg
IMPA1	Astrocytes	DownReg
INTS1	Astrocytes	DownReg
ITGAV	Astrocytes	DownReg
ITPR1	Astrocytes	DownReg
IVNS1ABP	Astrocytes	DownReg
JADE1	Astrocytes	DownReg
JAGN1	Astrocytes	DownReg
JOSD1	Astrocytes	DownReg
KCTD1	Astrocytes	DownReg
KHSRP	Astrocytes	DownReg
KIF1A	Astrocytes	DownReg
KIF2A	Astrocytes	DownReg
KIF3A	Astrocytes	DownReg
KIFAP3	Astrocytes	DownReg
KLC1	Astrocytes	DownReg
KLF13	Astrocytes	DownReg
KLHDC2	Astrocytes	DownReg
KLHL2	Astrocytes	DownReg
KPNA1	Astrocytes	DownReg
LAMTOR1	Astrocytes	DownReg
LAMTOR2	Astrocytes	DownReg
LGALSL	Astrocytes	DownReg
LMO4	Astrocytes	DownReg
LNPK	Astrocytes	DownReg
LSM7	Astrocytes	DownReg
MAK16	Astrocytes	DownReg
MAP2K6	Astrocytes	DownReg
MAP7D1	Astrocytes	DownReg
MAP7D2	Astrocytes	DownReg
MAPK1	Astrocytes	DownReg
MAPK4	Astrocytes	DownReg
MAT2A	Astrocytes	DownReg
MAT2B	Astrocytes	DownReg
MATR3	Astrocytes	DownReg
MBD3	Astrocytes	DownReg
MCRIP1	Astrocytes	DownReg
MCTS1	Astrocytes	DownReg
MEAF6	Astrocytes	DownReg
METTL23	Astrocytes	DownReg
METTL9	Astrocytes	DownReg
MFAP3L	Astrocytes	DownReg
MINPP1	Astrocytes	DownReg
MORF4L1	Astrocytes	DownReg
MPHOSPH8	Astrocytes	DownReg
MPP2	Astrocytes	DownReg
MRPL17	Astrocytes	DownReg
MRPL27	Astrocytes	DownReg
MRPL34	Astrocytes	DownReg
MRPS14	Astrocytes	DownReg
MRPS18B	Astrocytes	DownReg
MRPS33	Astrocytes	DownReg
MRTFB	Astrocytes	DownReg
MSH2	Astrocytes	DownReg
MT1G	Astrocytes	DownReg
MTMR9	Astrocytes	DownReg
MTPN	Astrocytes	DownReg
MTX1	Astrocytes	DownReg
MYO18A	Astrocytes	DownReg
N4BP1	Astrocytes	DownReg
NAA10	Astrocytes	DownReg
NAA25	Astrocytes	DownReg
NAA50	Astrocytes	DownReg
NAP1L5	Astrocytes	DownReg
NAPG	Astrocytes	DownReg
NCL	Astrocytes	DownReg
NDFIP2	Astrocytes	DownReg
NDUFB4	Astrocytes	DownReg
NDUFS3	Astrocytes	DownReg
NDUFV3	Astrocytes	DownReg
NEXN	Astrocytes	DownReg
NLGN3	Astrocytes	DownReg
NOLC1	Astrocytes	DownReg
NRG1	Astrocytes	DownReg
NSF	Astrocytes	DownReg
NSUN6	Astrocytes	DownReg
NT5C2	Astrocytes	DownReg
OLA1	Astrocytes	DownReg
OSBPL6	Astrocytes	DownReg
OSGEP	Astrocytes	DownReg
OSTC	Astrocytes	DownReg
PAFAH1B1	Astrocytes	DownReg
PAK1IP1	Astrocytes	DownReg
PAQR8	Astrocytes	DownReg
PAXX	Astrocytes	DownReg
PBX2	Astrocytes	DownReg
PCLO	Astrocytes	DownReg
PCYOX1	Astrocytes	DownReg
PDE10A	Astrocytes	DownReg
PER1	Astrocytes	DownReg
PER3	Astrocytes	DownReg
PFDN4	Astrocytes	DownReg
PIM3	Astrocytes	DownReg
PKIA	Astrocytes	DownReg
PLEKHB2	Astrocytes	DownReg
PNPLA7	Astrocytes	DownReg
POU3F4	Astrocytes	DownReg
PPDPF	Astrocytes	DownReg
PPM1G	Astrocytes	DownReg
PPP1CC	Astrocytes	DownReg
PPP2CA	Astrocytes	DownReg
PPP2R2A	Astrocytes	DownReg
PPP2R2D	Astrocytes	DownReg
PPP3CA	Astrocytes	DownReg
PPP3CB	Astrocytes	DownReg
PRDX2	Astrocytes	DownReg
PRELID3A	Astrocytes	DownReg
PRKCA	Astrocytes	DownReg
PRKCE	Astrocytes	DownReg
PSAP	Astrocytes	DownReg
PSIP1	Astrocytes	DownReg
PSMA6	Astrocytes	DownReg
PSMB1	Astrocytes	DownReg
PSMB3	Astrocytes	DownReg
PSMB7	Astrocytes	DownReg
PSMD4	Astrocytes	DownReg
PSMD8	Astrocytes	DownReg
PSMG4	Astrocytes	DownReg
PTOV1	Astrocytes	DownReg
PTPN11	Astrocytes	DownReg
PURA	Astrocytes	DownReg
PURB	Astrocytes	DownReg
RAB1B	Astrocytes	DownReg
TGIF2-RAB5IF	Astrocytes	DownReg
RAB5IF	Astrocytes	DownReg
RALY	Astrocytes	DownReg
RBX1	Astrocytes	DownReg
RHEB	Astrocytes	DownReg
RHOB	Astrocytes	DownReg
RHOT2	Astrocytes	DownReg
RNF11	Astrocytes	DownReg
RNMT	Astrocytes	DownReg
ROCK2	Astrocytes	DownReg
RPL6	Astrocytes	DownReg
RPP25L	Astrocytes	DownReg
RSRP1	Astrocytes	DownReg
RTF1	Astrocytes	DownReg
SALL3	Astrocytes	DownReg
SAR1A	Astrocytes	DownReg
SCAMP1	Astrocytes	DownReg
SDE2	Astrocytes	DownReg
SDHB	Astrocytes	DownReg
SEM1	Astrocytes	DownReg
SERBP1	Astrocytes	DownReg
SLC25A22	Astrocytes	DownReg
SLC35F1	Astrocytes	DownReg
SMARCA5	Astrocytes	DownReg
SMIM14	Astrocytes	DownReg
SMOX	Astrocytes	DownReg
SNAPC1	Astrocytes	DownReg
SNF8	Astrocytes	DownReg
SNRPC	Astrocytes	DownReg
SNRPD3	Astrocytes	DownReg
SNRPE	Astrocytes	DownReg
SOBP	Astrocytes	DownReg
SORL1	Astrocytes	DownReg
SOX12	Astrocytes	DownReg
SPAG7	Astrocytes	DownReg
SPIN1	Astrocytes	DownReg
SPIRE1	Astrocytes	DownReg
SRA1	Astrocytes	DownReg
SRP19	Astrocytes	DownReg
SRP72	Astrocytes	DownReg
SRPK2	Astrocytes	DownReg
SRSF2	Astrocytes	DownReg
SRSF3	Astrocytes	DownReg
SSBP4	Astrocytes	DownReg
SSR1	Astrocytes	DownReg
STARD3	Astrocytes	DownReg
STK25	Astrocytes	DownReg
STRN4	Astrocytes	DownReg
STUB1	Astrocytes	DownReg
STX16-NPEPL1	Astrocytes	DownReg
STX16	Astrocytes	DownReg
SUDS3	Astrocytes	DownReg
SUGT1	Astrocytes	DownReg
SYF2	Astrocytes	DownReg
TAF13	Astrocytes	DownReg
TBC1D24	Astrocytes	DownReg
TBCA	Astrocytes	DownReg
TBPL1	Astrocytes	DownReg
TBRG1	Astrocytes	DownReg
TCAF1	Astrocytes	DownReg
TEX261	Astrocytes	DownReg
TGS1	Astrocytes	DownReg
THRA	Astrocytes	DownReg
THRSP	Astrocytes	DownReg
THSD4	Astrocytes	DownReg
TIMM17A	Astrocytes	DownReg
TM9SF3	Astrocytes	DownReg
TMEFF1	Astrocytes	DownReg
TMEM131L	Astrocytes	DownReg
TMEM184B	Astrocytes	DownReg
TMEM263	Astrocytes	DownReg
TOB2	Astrocytes	DownReg
TPM1	Astrocytes	DownReg
TRAPPC4	Astrocytes	DownReg
TRMT6	Astrocytes	DownReg
TSC22D1	Astrocytes	DownReg
TSC22D3	Astrocytes	DownReg
TSNAX-DISC1	Astrocytes	DownReg
TTC33	Astrocytes	DownReg
TTL	Astrocytes	DownReg
TUT4	Astrocytes	DownReg
TXNRD1	Astrocytes	DownReg
UAP1	Astrocytes	DownReg
UBA2	Astrocytes	DownReg
UBE2M	Astrocytes	DownReg
UBL3	Astrocytes	DownReg
UHMK1	Astrocytes	DownReg
UPF1	Astrocytes	DownReg
UQCRC1	Astrocytes	DownReg
USP14	Astrocytes	DownReg
USP5	Astrocytes	DownReg
USP53	Astrocytes	DownReg
UTP14A	Astrocytes	DownReg
