gene	cell_type	Direction
Vopp1	Astrocytes	UpReg
Wdr17	Astrocytes	UpReg
Xpnpep1	Astrocytes	UpReg
Aatk	MSN_Drd1+_2	UpReg
Adra1a	MSN_Drd1+_2	UpReg
Aldoa	MSN_Drd1+_2	UpReg
Atp1b1	MSN_Drd1+_2	UpReg
Atp6v1a	MSN_Drd1+_2	UpReg
Bcap31	MSN_Drd1+_2	UpReg
Brd3	MSN_Drd1+_2	UpReg
Cct3	MSN_Drd1+_2	UpReg
Ckb	MSN_Drd1+_2	UpReg
Ctnna3	MSN_Drd1+_2	UpReg
Dbp	MSN_Drd1+_2	UpReg
Eif3f	MSN_Drd1+_2	UpReg
Enc1	MSN_Drd1+_2	UpReg
Filip1l	MSN_Drd1+_2	UpReg
Gm10135	MSN_Drd1+_2	UpReg
Gnb5	MSN_Drd1+_2	UpReg
Gpi1	MSN_Drd1+_2	UpReg
Hspa5	MSN_Drd1+_2	UpReg
Inpp4b	MSN_Drd1+_2	UpReg
Kcna1	MSN_Drd1+_2	UpReg
Kif1a	MSN_Drd1+_2	UpReg
Lmo4	MSN_Drd1+_2	UpReg
Lrrc4	MSN_Drd1+_2	UpReg
Lrtm1	MSN_Drd1+_2	UpReg
Nat8l	MSN_Drd1+_2	UpReg
Nedd4	MSN_Drd1+_2	UpReg
Nme7	MSN_Drd1+_2	UpReg
Npdc1	MSN_Drd1+_2	UpReg
Pcp4	MSN_Drd1+_2	UpReg
Pgm2l1	MSN_Drd1+_2	UpReg
Podxl2	MSN_Drd1+_2	UpReg
Prkacb	MSN_Drd1+_2	UpReg
Tmem151a	MSN_Drd1+_2	UpReg
Tmem243	MSN_Drd1+_2	UpReg
Tmx2	MSN_Drd1+_2	UpReg
Top1	MSN_Drd1+_2	UpReg
Ubl5	MSN_Drd1+_2	UpReg
Uchl4	MSN_Drd1+_2	UpReg
Wwp1	MSN_Drd1+_2	UpReg
2300009A05Rik	Oligodendrocytes	UpReg
Abhd3	Oligodendrocytes	UpReg
Actb	Oligodendrocytes	UpReg
Acvr1	Oligodendrocytes	UpReg
Adarb2	Oligodendrocytes	UpReg
Aff2	Oligodendrocytes	UpReg
Agpat4	Oligodendrocytes	UpReg
Agpat5	Oligodendrocytes	UpReg
Akr7a5	Oligodendrocytes	UpReg
Alcam	Oligodendrocytes	UpReg
Alg3	Oligodendrocytes	UpReg
Alyref	Oligodendrocytes	UpReg
Ampd2	Oligodendrocytes	UpReg
Anp32e	Oligodendrocytes	UpReg
Aplp1	Oligodendrocytes	UpReg
Aplp2	Oligodendrocytes	UpReg
Apod	Oligodendrocytes	UpReg
Apoe	Oligodendrocytes	UpReg
Arhgef19	Oligodendrocytes	UpReg
Arl6ip1	Oligodendrocytes	UpReg
Asrgl1	Oligodendrocytes	UpReg
Atad1	Oligodendrocytes	UpReg
Atf4	Oligodendrocytes	UpReg
Atf6b	Oligodendrocytes	UpReg
Atp8a2	Oligodendrocytes	UpReg
Atraid	Oligodendrocytes	UpReg
Aup1	Oligodendrocytes	UpReg
B3gat1	Oligodendrocytes	UpReg
B3gat2	Oligodendrocytes	UpReg
Banp	Oligodendrocytes	UpReg
Btf3	Oligodendrocytes	UpReg
Cacna2d1	Oligodendrocytes	UpReg
Cadps	Oligodendrocytes	UpReg
Canx	Oligodendrocytes	UpReg
Car2	Oligodendrocytes	UpReg
Ccdc24	Oligodendrocytes	UpReg
Cd81	Oligodendrocytes	UpReg
Cdipt	Oligodendrocytes	UpReg
Cdon	Oligodendrocytes	UpReg
Cfl1	Oligodendrocytes	UpReg
Cggbp1	Oligodendrocytes	UpReg
Ckb	Oligodendrocytes	UpReg
Clcn3	Oligodendrocytes	UpReg
Clip3	Oligodendrocytes	UpReg
Cmss1	Oligodendrocytes	UpReg
Cnp	Oligodendrocytes	UpReg
Cox6c	Oligodendrocytes	UpReg
Cpt1c	Oligodendrocytes	UpReg
Crtac1	Oligodendrocytes	UpReg
Cryab	Oligodendrocytes	UpReg
Cryzl1	Oligodendrocytes	UpReg
Csnk1g2	Oligodendrocytes	UpReg
Ctsl	Oligodendrocytes	UpReg
Ctsz	Oligodendrocytes	UpReg
D8Ertd738e	Oligodendrocytes	UpReg
Dbi	Oligodendrocytes	UpReg
Dcaf11	Oligodendrocytes	UpReg
Dclk2	Oligodendrocytes	UpReg
Degs1	Oligodendrocytes	UpReg
Dhx9	Oligodendrocytes	UpReg
Dmd	Oligodendrocytes	UpReg
Dnajb11	Oligodendrocytes	UpReg
Dnajb9	Oligodendrocytes	UpReg
Dnajc15	Oligodendrocytes	UpReg
Dr1	Oligodendrocytes	UpReg
Drap1	Oligodendrocytes	UpReg
Dstn	Oligodendrocytes	UpReg
Dynlrb1	Oligodendrocytes	UpReg
Dynlt3	Oligodendrocytes	UpReg
Ebag9	Oligodendrocytes	UpReg
Eif1	Oligodendrocytes	UpReg
Eif4g2	Oligodendrocytes	UpReg
Emc1	Oligodendrocytes	UpReg
Eml4	Oligodendrocytes	UpReg
Endov	Oligodendrocytes	UpReg
Epn1	Oligodendrocytes	UpReg
Ergic3	Oligodendrocytes	UpReg
Ermn	Oligodendrocytes	UpReg
Ethe1	Oligodendrocytes	UpReg
Exosc4	Oligodendrocytes	UpReg
Fabp5	Oligodendrocytes	UpReg
Fastk	Oligodendrocytes	UpReg
Fau	Oligodendrocytes	UpReg
Fbxl14	Oligodendrocytes	UpReg
Fbxw15	Oligodendrocytes	UpReg
Fbxw5	Oligodendrocytes	UpReg
Fez1	Oligodendrocytes	UpReg
Filip1l	Oligodendrocytes	UpReg
Fth1	Oligodendrocytes	UpReg
Ftl1	Oligodendrocytes	UpReg
Fzr1	Oligodendrocytes	UpReg
Gabarap	Oligodendrocytes	UpReg
Gde1	Oligodendrocytes	UpReg
Ggt7	Oligodendrocytes	UpReg
Gjb1	Oligodendrocytes	UpReg
Gm38393	Oligodendrocytes	UpReg
Gpr137	Oligodendrocytes	UpReg
Gpr37	Oligodendrocytes	UpReg
Gripap1	Oligodendrocytes	UpReg
Grk2	Oligodendrocytes	UpReg
Gsn	Oligodendrocytes	UpReg
Gstm5	Oligodendrocytes	UpReg
Gstp1	Oligodendrocytes	UpReg
Gtf2h5	Oligodendrocytes	UpReg
H3f3a	Oligodendrocytes	UpReg
Hdgf	Oligodendrocytes	UpReg
Hmgb1	Oligodendrocytes	UpReg
Hmgcs1	Oligodendrocytes	UpReg
Hsd17b10	Oligodendrocytes	UpReg
Hsp90aa1	Oligodendrocytes	UpReg
Hsp90ab1	Oligodendrocytes	UpReg
Hsp90b1	Oligodendrocytes	UpReg
Igf2r	Oligodendrocytes	UpReg
Igsf8	Oligodendrocytes	UpReg
Impdh2	Oligodendrocytes	UpReg
Itm2b	Oligodendrocytes	UpReg
Jund	Oligodendrocytes	UpReg
Kdelr1	Oligodendrocytes	UpReg
Kmt2a	Oligodendrocytes	UpReg
Lamp1	Oligodendrocytes	UpReg
Lamtor5	Oligodendrocytes	UpReg
Lars2	Oligodendrocytes	UpReg
Leprotl1	Oligodendrocytes	UpReg
Lingo2	Oligodendrocytes	UpReg
Lmna	Oligodendrocytes	UpReg
Luzp2	Oligodendrocytes	UpReg
Lysmd4	Oligodendrocytes	UpReg
Magoh	Oligodendrocytes	UpReg
Man2a1	Oligodendrocytes	UpReg
Map1lc3b	Oligodendrocytes	UpReg
Map3k12	Oligodendrocytes	UpReg
Med30	Oligodendrocytes	UpReg
Mid1ip1	Oligodendrocytes	UpReg
Mrfap1	Oligodendrocytes	UpReg
Mrpl58	Oligodendrocytes	UpReg
Mtx3	Oligodendrocytes	UpReg
Ndrg3	Oligodendrocytes	UpReg
Nipal3	Oligodendrocytes	UpReg
Nkx6-2	Oligodendrocytes	UpReg
Nlgn1	Oligodendrocytes	UpReg
Nucks1	Oligodendrocytes	UpReg
Nudt3	Oligodendrocytes	UpReg
Nxt1	Oligodendrocytes	UpReg
Ogfod1	Oligodendrocytes	UpReg
Pde4b	Oligodendrocytes	UpReg
Pde8b	Oligodendrocytes	UpReg
Pdia3	Oligodendrocytes	UpReg
Pdzd8	Oligodendrocytes	UpReg
Pfn1	Oligodendrocytes	UpReg
Phyhipl	Oligodendrocytes	UpReg
Pigh	Oligodendrocytes	UpReg
Pisd	Oligodendrocytes	UpReg
Plp1	Oligodendrocytes	UpReg
Plpp7	Oligodendrocytes	UpReg
Pnrc1	Oligodendrocytes	UpReg
Ppan	Oligodendrocytes	UpReg
Ppfia2	Oligodendrocytes	UpReg
Ppia	Oligodendrocytes	UpReg
Ppib	Oligodendrocytes	UpReg
Ppp1r12c	Oligodendrocytes	UpReg
Ppp1r14a	Oligodendrocytes	UpReg
Prdx1	Oligodendrocytes	UpReg
Prnp	Oligodendrocytes	UpReg
Psenen	Oligodendrocytes	UpReg
